query_description,formula
Calculate cardamom warmth factor,Cardamom = 1-5% in spicy accords
Find cinnamon bark intensity,Cinnamon = 0.5-3% (skin-safe limit)
Calculate clove bud spiciness,Clove = 0.5-2% for warmth
Determine nutmeg aromatic level,Nutmeg = 1-4% in oriental blends
Calculate black pepper sharpness,Black Pepper = 1-5% for spicy top
Find pink pepper fizz factor,Pink Pepper = 2-8% for modern freshness
Calculate coffee absolute richness,Coffee = 1-5% in gourmands
Determine chocolate intensity,Chocolate = 2-8% for sweetness
Calculate aldehyde C-12 soapy effect,Aldehyde C-12 = 0.5-2% for classic soapiness
Determine aldehyde C-11 fatty floral,Aldehyde C-11 = 0.3-1.5% for lift
Calculate aldehyde C-14 peachy note,Aldehyde C-14 = 0.5-2% for fruity
Find aldehyde C-18 coconut cream,Aldehyde C-18 = 0.2-1% for lactonic
Calculate mixed aldehydes sparkle,Mixed Aldehydes = 1-3% total
Determine bourgeonal lily effect,Bourgeonal = 1-5% for muguet
Calculate methyl ionone violet,Methyl Ionone = 2-8% for powdery
Find hydroxycitronellal fresh floral,Hydroxycitronellal = 5-15% for clean
Calculate hexyl cinnamic aldehyde jasmine,HCA = 2-10% for jasmine facet
Determine anisic aldehyde sweet hawthorn,Anisic Aldehyde = 1-5% for sweet floral
Calculate Iso E Super halo effect,Iso E Super = 10-40% for radiance
Determine Hedione jasmine transparency,Hedione = 10-30% for diffusive floral
Calculate Ambroxan ambery warmth,Ambroxan = 2-10% for marine amber
Find Calone aquatic freshness,Calone = 0.5-3% for marine ozone
Calculate Georgywood intensity,Georgywood = 5-20% for woody
Determine Cashmeran soft musk,Cashmeran = 5-15% for velvet
Calculate Timberol cedar freshness,Timberol = 5-15% for dry wood
Find Javanol sandalwood creaminess,Javanol = 10-30% for creamy wood
Calculate Nirvanolide skin musk,Nirvanolide = 2-8% for intimate
Determine Ambrofix amber crystal,Ambrofix = 3-12% for transparent amber
Calculate apple fresh sweetness,Apple = 3-10% in fruity florals
Determine peach soft fuzziness,Peach = 2-8% for velvety fruit
Calculate pear juicy crispness,Pear = 3-10% for elegant fruit
Find strawberry candy sweetness,Strawberry = 2-8% in gourmands
Calculate raspberry tartness,Raspberry = 2-6% for berry notes
Determine blackcurrant bud cassis,Blackcurrant = 2-8% for green fruit
Calculate coconut creamy tropical,Coconut = 3-12% for exotic
Find pineapple tropical brightness,Pineapple = 2-8% for juicy top
Calculate mango lush sweetness,Mango = 2-8% in tropical blends
Determine fig milky green,Fig = 3-10% for Mediterranean
Calculate galbanum sharp greenness,Galbanum = 1-5% for intense green
Determine violet leaf cucumber cool,Violet Leaf = 2-8% for aquatic green
Calculate basil aromatic freshness,Basil = 1-5% for herbal top
Find rosemary herbaceous clarity,Rosemary = 2-8% for aromatic
Calculate thyme Mediterranean warmth,Thyme = 1-4% for herbal spice
Determine sage clary aromatic depth,Clary Sage = 3-10% for amber herb
Calculate tea green freshness,Green Tea = 2-8% for modern fresh
Find cucumber water coolness,Cucumber = 1-5% for aquatic fresh
Calculate cut grass lawn freshness,Cut Grass = 2-6% for green outdoors
Determine ivy green leafy,Ivy = 2-8% for forest green
Calculate elemi fresh resin,Elemi = 2-8% for citrus spice
Determine Peru balsam vanilla rich,Peru Balsam = 3-10% for sweet resin
Calculate Tolu balsam cinnamon sweet,Tolu Balsam = 2-8% for balsamic
Find benzoin vanilla resin,Benzoin = 3-10% for sweet fixative
Calculate opoponax sweet myrrh,Opoponax = 2-8% for honey resin
Determine cistus labdanum amber,Cistus = 5-15% for leather amber
Calculate storax balsam intensity,Storax = 2-8% for oriental depth
Find propolis honey resin,Propolis = 1-5% for honey animalic
Calculate pine resin forest depth,Pine Resin = 2-8% for coniferous
Determine fir balsam Christmas tree,Fir Balsam = 3-10% for evergreen
Calculate tobacco absolute richness,Tobacco = 2-10% for smoky depth
Determine birch tar leather smokiness,Birch Tar = 1-5% for leather
Calculate castoreum animalic leather,Castoreum = 0.5-3% for vintage leather
Find cade oil smoky tar,Cade Oil = 1-5% for campfire
Calculate guaiacwood smoky sweet,Guaiacwood = 5-15% for rose wood
Determine hay absolute tobacco facet,Hay = 2-8% for warm dried
Calculate immortelle curry tobacco,Immortelle = 1-5% for maple curry
Find mate absolute green tobacco,Mate = 2-6% for bitter green
Calculate nagarmotha cypriol woody leather,Nagarmotha = 2-8% for earthy leather
Determine papyrus dry woody,Papyrus = 3-10% for mineral wood
Calculate calone ozone marine,Calone = 0.5-3% for seabreeze
Determine marine algae saltiness,Marine Notes = 2-8% for ocean
Calculate water notes transparency,Water Accord = 5-15% for fresh aquatic
Find sea salt mineral crispness,Sea Salt = 1-5% for coastal
Calculate seaweed iodine marine,Seaweed = 1-4% for authentic ocean
Determine melon aquatic juiciness,Melon = 3-10% for fruity aquatic
Calculate lotus water floral,Lotus = 2-8% for Asian aquatic
Find rain accord fresh wetness,Rain = 5-15% for petrichor
Calculate mineral notes stone coolness,Mineral = 2-8% for rock water
Determine seaspray salty mist,Sea Spray = 2-8% for coastal breeze
Calculate perfume to body spray dilution,Body Spray = Perfume concentration × 0.25
Determine splash cologne from concentrate,Splash = 3-5% in 80% alcohol
Calculate aftershave lotion strength,Aftershave = 2-4% fragrance + soothing agents
Find hair mist safe concentration,Hair Mist = 1-3% in light alcohol
Calculate linen spray dilution,Linen Spray = 2-5% in water-alcohol mix
Determine reed diffuser oil strength,Reed Diffuser = 10-20% in carrier oil
Calculate candle fragrance load,Candle = 6-10% fragrance in wax
Find soap safe fragrance level,Soap = 2-4% skin-safe fragrance
Calculate lotion perfume percentage,Lotion = 1-3% in emulsion base
Determine shampoo fragrance load,Shampoo = 0.5-2% in surfactant base
Calculate maceration time formula,Maceration Days = 30-90 for optimal blending
Determine aging improvement factor,Aging Improvement = log(Days + 1) × Quality Factor
Calculate temperature for maturation,Maturation Temp = 15-20°C constant
Find optimal storage humidity,Storage Humidity = 40-60% RH
Calculate evaporation loss percentage,Evaporation Loss = 2-5% over 6 months
Determine bottle fill headspace,Headspace = 5-10% of bottle volume
Calculate oxidation prevention,Nitrogen Blanket = 100% headspace fill
Find light protection requirement,Amber Glass = 99% UV filtration
Calculate shake-and-settle time,Settling = 24-48 hours after mixing
Determine cold stability test,"Cold Test = 0°C for 48 hours, no cloudiness"
Calculate total allergen percentage,Total Allergens = Sum(Each Allergen %) must be listed if >0.001%
Determine IFRA category compliance,IFRA Cat = Product Type QRA limit check
Calculate limonene natural level,Limonene = 60-95% in citrus oils
Find linalool lavender content,Linalool = 25-45% in lavender oil
Calculate geraniol rose concentration,Geraniol = 15-30% in rose oil
Determine citronellol content,Citronellol = 18-55% in rose/geranium
Calculate eugenol clove limitation,Eugenol = Max 0.5-1% (IFRA restricted)
Find coumarin tonka restriction,Coumarin = Max 0.1-1% depending category
Calculate citral limit compliance,Citral = Max 0.6-2% (skin sensitizer)
Determine farnesol natural occurrence,Farnesol = 2-15% in jasmine/ylang
Calculate raw material cost per batch,Batch Cost = Σ(Ingredient Weight × Price per kg)
Determine cost per finished unit,Unit Cost = Batch Cost / Number of Units
Calculate markup for retail price,Retail Price = Unit Cost × (1 + Markup %)
Find break-even production volume,Break-Even = Fixed Costs / (Price - Variable Cost)
Calculate ingredient cost percentage,Ingredient % = (Ingredient Cost / Total Cost) × 100
Determine profit margin on perfume,Profit Margin = (Revenue - Cost) / Revenue × 100
Calculate wholesale discount amount,Wholesale = Retail × (1 - Discount %)
Find production cost efficiency,Efficiency = Actual Yield / Theoretical Yield × 100
Calculate packaging cost ratio,Packaging % = Packaging Cost / Total Cost × 100
Determine sample vial costing,Sample Cost = (Fragrance Cost × Sample mL) + Vial Cost
