query_description,formula
Find TSH-T4 dissociation index,SPINA-GT = (TSH × FT4) / Reference Range Product
Calculate activated clotting time ratio,ACT Ratio = Patient ACT / Control ACT
Determine aPTT ratio,aPTT Ratio = Patient aPTT / Mean Normal aPTT
Calculate thrombin time ratio,TT Ratio = Patient TT / Control TT
Find fibrinogen activity percentage,Fibrinogen Activity = (Patient Clot / Reference) × 100
Calculate D-dimer FEU conversion,D-dimer FEU = DDU × 2
Determine bleeding time adjusted,Bleeding Time Adjusted = Observed Time / Template Width
Calculate platelet function analyzer closure time,PFA-CT = Closure Time (ADP or Epi cartridge)
Find clot retraction percentage,Clot Retraction % = (Serum Volume / Total Volume) × 100
Calculate mixing study correction,Correction = [(Mix PT - Patient PT) / Patient PT] × 100 > 10%
Determine factor VIII activity,Factor VIII = % Activity from PT-based assay
Calculate corrected sodium for glucose,Corrected Na = Measured Na + 0.016 × (Glucose - 100)
Determine free calcium from total,Free Ca = 0.9 + 0.55 × Total Ca - 0.3 × Albumin
Calculate calcium-phosphate product,Ca × PO₄ = Calcium mg/dL × Phosphate mg/dL
Find potassium correction for pH,K⁺ change = 0.6 mEq/L per 0.1 pH unit
Calculate magnesium to calcium ratio,Mg/Ca Ratio = Magnesium mg/dL / Calcium mg/dL
Determine sodium deficit,Na Deficit = 0.6 × Weight kg × (Desired Na - Actual Na)
Calculate free water deficit,Water Deficit = TBW × [(Actual Na / Desired Na) - 1]
Find chloride to sodium ratio,Cl/Na Ratio = Chloride mEq/L / Sodium mEq/L
Calculate phosphate correction for albumin,Corrected PO₄ = Measured PO₄ + (3.5 - Albumin)
Determine ionized calcium from pH,ΔiCa = 0.05 mmol/L per 0.1 pH increase
Calculate red cell distribution width CV,RDW-CV % = (SD of RBC Volume / MCV) × 100
Determine platelet distribution width,PDW = SD of Platelet Volume
Calculate mean platelet volume,MPV fL = Plateletcrit % / Platelet Count × 10⁶
Find plateletcrit percentage,"PCT % = (Platelet Count × MPV) / 10,000"
Calculate immature platelet fraction,IPF % = Immature Platelets / Total Platelets × 100
Determine nucleated RBC count,"nRBC/100 WBC, Corrected WBC = Counted WBC × 100/(100 + nRBC)"
Calculate large unstained cells,LUC = Total WBC - (Lymph + Mono + Gran)
Find red cell hemoglobin content,CHr pg = Mean Hgb Content of Reticulocytes
Calculate RBC morphology index,RDW-SD fL = Width at 20% Height of RBC Histogram
Determine blast percentage,Blast % = (Blast Count / Total WBC) × 100
Calculate PSA density,PSAD = Total PSA / Prostate Volume mL
Determine PSA velocity,PSA Velocity = (PSA₂ - PSA₁) / Time years
Calculate free to total PSA ratio,Free/Total PSA % = (Free PSA / Total PSA) × 100
Find CA-125 to CEA ratio,CA-125/CEA = CA-125 U/mL / CEA ng/mL
Calculate AFP to total protein ratio,AFP Ratio = AFP ng/mL / Total Protein g/L
Determine tumor marker doubling time,Doubling Time = (t × ln2) / ln(C₂/C₁)
Calculate HCG discriminatory zone,HCG Threshold = 1500-2000 mIU/mL for IUP visualization
Find CA 19-9 to bilirubin ratio,CA 19-9/Bili = CA 19-9 / Total Bilirubin
Calculate CEA to CA 19-9 ratio,CEA/CA 19-9 = CEA ng/mL / CA 19-9 U/mL
Determine LDH to ALT ratio,LDH/ALT = LDH IU/L / ALT IU/L
Calculate specific gravity from osmolality,Specific Gravity ≈ 1.000 + (Osm / 1000 × 0.035)
Determine urine albumin excretion rate,AER mg/24h = Urine Albumin × 24h Volume / 1000
Calculate urine protein excretion,Protein g/24h = Urine Protein mg/dL × Volume L × 0.01
Find fractional excretion of urea,FEUrea % = [(Uurea × PCr) / (Purea × UCr)] × 100
Calculate renal failure index,RFI = UNa / (UCr / PCr)
Determine urine anion gap,Urine AG = (UNa + UK) - UCl
Calculate urine osmolal gap for NH₄⁺,"UOG = Measured Osm - Calculated, NH₄⁺ ≈ UOG/2"
Find urine calcium to creatinine ratio,UCa/Cr = (Urine Ca mg/dL / Urine Cr mg/dL)
Calculate 24-hour calcium excretion,Ca Excretion = Urine Ca mg/dL × Volume L × 10
Determine urine uric acid to creatinine ratio,U-UA/Cr = Urine Uric Acid / Urine Creatinine
Calculate antibody titer dilution,Titer = Highest Dilution with Positive Reaction
Determine IgG index for CSF,IgG Index = (CSF IgG / Serum IgG) / (CSF Albumin / Serum Albumin)
Calculate CSF/serum albumin ratio,Albumin Ratio = (CSF Albumin / Serum Albumin) × 1000
Find IgG synthesis rate,IgG Synthesis = [(CSF IgG - Serum IgG/369) - (CSF Alb/230)] × 5
Calculate C3 to C4 ratio,C3/C4 = Complement C3 / Complement C4
Determine CH50 complement activity,CH50 = Dilution causing 50% Hemolysis
Calculate antigen-antibody ratio,Ag:Ab = Antigen Conc / Antibody Conc
Find rheumatoid factor units,RF IU/mL = Patient OD / Cutoff OD × Calibrator Value
Calculate anti-CCP antibody level,Anti-CCP U/mL from Standard Curve
Determine ANA titer pattern,"ANA = Titer × Pattern (e.g., 1:320 Homogeneous)"
Calculate troponin delta change,Δ Troponin = Troponin₂ - Troponin₁
Determine troponin relative change,% Change = [(Trop₂ - Trop₁) / Trop₁] × 100
Calculate BNP to NT-proBNP conversion,NT-proBNP ≈ BNP × 8
Find CK-MB relative index,CK-MB Index % = (CK-MB / Total CK) × 100
Calculate myoglobin to troponin ratio,Myoglobin/Trop = Myoglobin ng/mL / Troponin ng/mL
Determine hs-cTn delta at 1 hour,1h Δhs-cTn for Rule-in/Rule-out Protocol
Calculate copeptin combined with troponin,Combined Score = Troponin + Copeptin Algorithm
Find H-FABP heart fatty acid protein,H-FABP ng/mL elevation for early MI
Calculate troponin clearance rate,Clearance = (Peak - Current) / Time hours
Determine GRACE risk score,GRACE = Points(Age + HR + SBP + Cr + Killip + Arrest + ST + Cardiac Enzymes)
Calculate colony forming units,CFU/mL = (Colony Count × Dilution Factor) / Volume Plated
Determine bacterial growth rate,Growth Rate = ln(N₂/N₁) / (t₂ - t₁)
Calculate doubling time,Doubling Time = ln(2) / Growth Rate
Find minimum inhibitory concentration,MIC = Lowest Antibiotic Conc with No Visible Growth
Calculate zone of inhibition diameter,ZOI = Diameter mm of Clear Zone
Determine bacterial load reduction,Log Reduction = log₁₀(Initial CFU) - log₁₀(Final CFU)
Calculate D-value sterilization,D-value = Time for 1 Log₁₀ Reduction
Find bactericidal ratio,MBC/MIC Ratio = Bactericidal / Inhibitory Concentration
Calculate viral load copies,Viral Load = Copies/mL from PCR Ct Value
Determine antibiotic synergy,FIC Index = (MIC_A combo / MIC_A alone) + (MIC_B combo / MIC_B alone)
Calculate CSF protein to albumin ratio,CSF Protein/Albumin = CSF Total Protein / CSF Albumin
Determine CSF glucose to serum ratio,CSF/Serum Glucose = CSF Glucose / Serum Glucose
Calculate CSF WBC corrected for RBC,Corrected WBC = Observed WBC - (Blood WBC × CSF RBC / Blood RBC)
Find CSF opening pressure,Opening Pressure mmH₂O via Manometry
Calculate oligoclonal band number,OCB = Number of Bands in CSF not in Serum
Determine CSF IgG to total protein,IgG % = (CSF IgG / CSF Total Protein) × 100
Calculate intrathecal IgG synthesis,IgG Synthesis = (CSF IgG / Serum IgG) - (CSF Alb / Serum Alb)
Find CSF lactate to glucose ratio,Lactate/Glucose = CSF Lactate / CSF Glucose
Calculate CSF chloride significance,CSF Chloride mEq/L (↓ in bacterial meningitis)
Determine xanthochromia index,Xanthochromia = Spectrophotometry at 460nm
Calculate testosterone free from total,Free Testosterone = Total × % Free (from SHBG calculation)
Determine DHEA-S to testosterone ratio,DHEAS/Testosterone = DHEAS μg/dL / Testosterone ng/dL
Calculate estradiol to estrone ratio,E2/E1 = Estradiol pg/mL / Estrone pg/mL
Find progesterone luteal adequacy,Progesterone > 10 ng/mL in mid-luteal phase
Calculate cortisol to ACTH ratio,Cortisol/ACTH = Cortisol μg/dL / ACTH pg/mL
Determine aldosterone to renin ratio,ARR = Aldosterone ng/dL / Renin ng/mL/h
Calculate free androgen index,FAI = (Total Testosterone / SHBG) × 100
Find bioavailable testosterone,BioT = Total T - SHBG-bound T
Calculate PTH to calcium ratio,PTH/Ca = PTH pg/mL / Calcium mg/dL
Determine 25-OH vitamin D total,Total Vit D = 25-OH-D2 + 25-OH-D3
Calculate ethanol blood level,Ethanol mg/dL = BAC % × 1000
Determine salicylate level significance,Salicylate mg/dL + Done Nomogram for Toxicity
Calculate acetaminophen hepatotoxicity,APAP μg/mL on Rumack-Matthew Nomogram
Find lithium therapeutic index,Lithium = 0.6-1.2 mEq/L Therapeutic Range
Calculate digoxin steady state,Digoxin SS = Dose / (CLr + CLnr) × F
Determine phenytoin corrected for albumin,Corrected Phenytoin = Measured / (0.2 × Albumin + 0.1)
Calculate carboxyhemoglobin percentage,COHb % = (COHb / Total Hb) × 100
Find methemoglobin level,MetHb % = (MetHb / Total Hb) × 100
Calculate osmolal gap for toxins,Osm Gap > 10 suggests volatile toxin
Determine theophylline clearance,Theophylline CL = Dose / (Css × τ)
Calculate bicarbonate from pH and PCO₂,HCO₃⁻ = 0.03 × PCO₂ × 10^(pH - 6.1)
Determine oxygen saturation from PO₂,SaO₂ % from Oxygen Dissociation Curve
Calculate P50 oxygen affinity,P50 = PO₂ at 50% Saturation (normal 26-27 mmHg)
Find shunt fraction,Qs/Qt = (CcO₂ - CaO₂) / (CcO₂ - CvO₂)
Calculate oxygen delivery,DO₂ = CO × CaO₂ × 10
Determine oxygen consumption,VO₂ = CO × (CaO₂ - CvO₂) × 10
Calculate oxygen extraction ratio,O₂ER = (CaO₂ - CvO₂) / CaO₂
Find respiratory quotient,RQ = VCO₂ / VO₂
Calculate alveolar oxygen tension,PAO₂ = (FiO₂ × (Patm - 47)) - (PaCO₂ / RQ)
Determine dead space fraction,Vd/Vt = (PaCO₂ - PĒCO₂) / PaCO₂
Calculate reptilase time ratio,Reptilase Ratio = Patient Time / Control Time
Determine euglobulin lysis time,ELT = Time for Clot Lysis (normal 2-4 hours)
Calculate factor assay percentage,Factor % = Patient / Normal Pool × 100
Find von Willebrand activity ratio,vWF:RCo / vWF:Ag Ratio
Calculate ADAMTS13 activity,ADAMTS13 % = Enzyme Activity Assay
Determine protein C activity,Protein C % Activity from Clotting Assay
Calculate protein S free antigen,Free Protein S % of Total
Find antithrombin activity,AT % = Heparin Cofactor Activity
Calculate lupus anticoagulant ratio,LA Ratio = (Patient / Control) for dRVVT or aPTT
Determine platelet aggregation response,Aggregation % = ΔLight Transmission
Calculate serum viscosity relative,Relative Viscosity = Serum Viscosity / Water Viscosity
Determine cryoglobulin precipitation,Cryoglobulin mg/dL after 72h at 4°C
Calculate amylase to lipase ratio,Amylase/Lipase = Amylase IU/L / Lipase IU/L
Find lipase to amylase ratio significance,Lipase/Amylase > 2 suggests acute pancreatitis
Calculate sweat chloride for CF,Sweat Cl⁻ > 60 mEq/L positive for CF
Determine alpha-1 antitrypsin phenotype,AAT mg/dL + PI Typing for Deficiency
Calculate ceruloplasmin to copper ratio,Ceruloplasmin/Copper for Wilson's Disease
Find lactate to pyruvate ratio,L/P Ratio = Lactate / Pyruvate (normal 10:1)
Calculate ammonia to glutamine ratio,NH₃/Glutamine for hepatic encephalopathy
Determine porphobilinogen quantitative,PBG mg/24h for Acute Porphyria
